artifact,sha256,size_bytes,freeze_status,source_relation
EBB-AI-SENTINEL-2_EXAMINED_RC1_BASELINE.zip,35545be196498a578813f660a107dcb4d911295aaa5ae1a852ae73167e6983f0,36244,FROZEN,RC1 baseline
EBB-AI-SENTINEL-2_EXAMINED_RC2_FROZEN_CANDIDATE.zip,8cef138c4407923df638b127a60d9a0d463b044fd96b87b062761d599591f00f,38287,FROZEN,SENTINEL-1 RC2 candidate
EBB-AI-SENTINEL-2_NAVIGATOR_RC1_BASELINE.zip,25b3db9cd9b05e37e2198a197a51f432821fa154a1300c7ff1ff8903f55753df,220705,FROZEN,RC1 baseline
EBB-AI-SENTINEL-2_NAVIGATOR_RC2_FROZEN_CANDIDATE.zip,09e215fec74b6f6850b5fa943032c3252a3198198eeb49bdf84483f1e4e62303,224346,FROZEN,SENTINEL-1 RC2 candidate
