check,status,detail
source_rc24_rows_48,PASS,48
paired_output_rows_96,PASS,96
baseline_rows_48,PASS,
candidate_rows_48,PASS,
scenario_tutor_pairs_48,PASS,48
backend_pairs_47,PASS,47
local_pairs_1,PASS,1
route_parity_48,PASS,
backend_system_changed_47,PASS,
backend_non_system_payload_same_47,PASS,
model_same_47,PASS,
max_tokens_same_47,PASS,
messages_same_47,PASS,
synthetic_user_message_same_48,PASS,
local_result_same,PASS,
candidate_post_safety_lock_present_47,PASS,
candidate_deletion_gate_present_47,PASS,
baseline_new_blocks_absent_47,PASS,
candidate_system_exact_transform,PASS,
payload_hashes_self_consistent,PASS,
p06a_navigator_local_byte_identical,PASS,
external_completion_token_not_injected,PASS,
