check,status,detail
source_rc25_rows_48,PASS,48
paired_output_rows_96,PASS,96
baseline_rows_48,PASS,
candidate_rows_48,PASS,
scenario_tutor_pairs_48,PASS,48
route_parity_P01-A_Examined Companion,PASS,
synthetic_message_parity_P01-A_Examined Companion,PASS,
system_changed_P01-A_Examined Companion,PASS,
non_system_same_P01-A_Examined Companion,PASS,
route_parity_P01-A_Navigator Twin,PASS,
synthetic_message_parity_P01-A_Navigator Twin,PASS,
system_changed_P01-A_Navigator Twin,PASS,
non_system_same_P01-A_Navigator Twin,PASS,
route_parity_P01-B_Examined Companion,PASS,
synthetic_message_parity_P01-B_Examined Companion,PASS,
system_changed_P01-B_Examined Companion,PASS,
non_system_same_P01-B_Examined Companion,PASS,
route_parity_P01-B_Navigator Twin,PASS,
synthetic_message_parity_P01-B_Navigator Twin,PASS,
system_changed_P01-B_Navigator Twin,PASS,
non_system_same_P01-B_Navigator Twin,PASS,
route_parity_P02-A_Examined Companion,PASS,
synthetic_message_parity_P02-A_Examined Companion,PASS,
system_changed_P02-A_Examined Companion,PASS,
non_system_same_P02-A_Examined Companion,PASS,
route_parity_P02-A_Navigator Twin,PASS,
synthetic_message_parity_P02-A_Navigator Twin,PASS,
system_changed_P02-A_Navigator Twin,PASS,
non_system_same_P02-A_Navigator Twin,PASS,
route_parity_P02-B_Examined Companion,PASS,
synthetic_message_parity_P02-B_Examined Companion,PASS,
system_changed_P02-B_Examined Companion,PASS,
non_system_same_P02-B_Examined Companion,PASS,
route_parity_P02-B_Navigator Twin,PASS,
synthetic_message_parity_P02-B_Navigator Twin,PASS,
system_changed_P02-B_Navigator Twin,PASS,
non_system_same_P02-B_Navigator Twin,PASS,
route_parity_P03-A_Examined Companion,PASS,
synthetic_message_parity_P03-A_Examined Companion,PASS,
system_changed_P03-A_Examined Companion,PASS,
non_system_same_P03-A_Examined Companion,PASS,
route_parity_P03-A_Navigator Twin,PASS,
synthetic_message_parity_P03-A_Navigator Twin,PASS,
system_changed_P03-A_Navigator Twin,PASS,
non_system_same_P03-A_Navigator Twin,PASS,
route_parity_P03-B_Examined Companion,PASS,
synthetic_message_parity_P03-B_Examined Companion,PASS,
system_changed_P03-B_Examined Companion,PASS,
non_system_same_P03-B_Examined Companion,PASS,
route_parity_P03-B_Navigator Twin,PASS,
synthetic_message_parity_P03-B_Navigator Twin,PASS,
system_changed_P03-B_Navigator Twin,PASS,
non_system_same_P03-B_Navigator Twin,PASS,
route_parity_P04-A_Examined Companion,PASS,
synthetic_message_parity_P04-A_Examined Companion,PASS,
system_changed_P04-A_Examined Companion,PASS,
non_system_same_P04-A_Examined Companion,PASS,
route_parity_P04-A_Navigator Twin,PASS,
synthetic_message_parity_P04-A_Navigator Twin,PASS,
system_changed_P04-A_Navigator Twin,PASS,
non_system_same_P04-A_Navigator Twin,PASS,
route_parity_P04-B_Examined Companion,PASS,
synthetic_message_parity_P04-B_Examined Companion,PASS,
system_changed_P04-B_Examined Companion,PASS,
non_system_same_P04-B_Examined Companion,PASS,
route_parity_P04-B_Navigator Twin,PASS,
synthetic_message_parity_P04-B_Navigator Twin,PASS,
system_changed_P04-B_Navigator Twin,PASS,
non_system_same_P04-B_Navigator Twin,PASS,
route_parity_P05-A_Examined Companion,PASS,
synthetic_message_parity_P05-A_Examined Companion,PASS,
system_changed_P05-A_Examined Companion,PASS,
non_system_same_P05-A_Examined Companion,PASS,
route_parity_P05-A_Navigator Twin,PASS,
synthetic_message_parity_P05-A_Navigator Twin,PASS,
system_changed_P05-A_Navigator Twin,PASS,
non_system_same_P05-A_Navigator Twin,PASS,
route_parity_P05-B_Examined Companion,PASS,
synthetic_message_parity_P05-B_Examined Companion,PASS,
system_changed_P05-B_Examined Companion,PASS,
non_system_same_P05-B_Examined Companion,PASS,
route_parity_P05-B_Navigator Twin,PASS,
synthetic_message_parity_P05-B_Navigator Twin,PASS,
system_changed_P05-B_Navigator Twin,PASS,
non_system_same_P05-B_Navigator Twin,PASS,
route_parity_P06-A_Examined Companion,PASS,
synthetic_message_parity_P06-A_Examined Companion,PASS,
system_changed_P06-A_Examined Companion,PASS,
non_system_same_P06-A_Examined Companion,PASS,
route_parity_P06-A_Navigator Twin,PASS,
synthetic_message_parity_P06-A_Navigator Twin,PASS,
route_parity_P06-B_Examined Companion,PASS,
synthetic_message_parity_P06-B_Examined Companion,PASS,
system_changed_P06-B_Examined Companion,PASS,
non_system_same_P06-B_Examined Companion,PASS,
route_parity_P06-B_Navigator Twin,PASS,
synthetic_message_parity_P06-B_Navigator Twin,PASS,
system_changed_P06-B_Navigator Twin,PASS,
non_system_same_P06-B_Navigator Twin,PASS,
route_parity_P07-A_Examined Companion,PASS,
synthetic_message_parity_P07-A_Examined Companion,PASS,
system_changed_P07-A_Examined Companion,PASS,
non_system_same_P07-A_Examined Companion,PASS,
route_parity_P07-A_Navigator Twin,PASS,
synthetic_message_parity_P07-A_Navigator Twin,PASS,
system_changed_P07-A_Navigator Twin,PASS,
non_system_same_P07-A_Navigator Twin,PASS,
route_parity_P07-B_Examined Companion,PASS,
synthetic_message_parity_P07-B_Examined Companion,PASS,
system_changed_P07-B_Examined Companion,PASS,
non_system_same_P07-B_Examined Companion,PASS,
route_parity_P07-B_Navigator Twin,PASS,
synthetic_message_parity_P07-B_Navigator Twin,PASS,
system_changed_P07-B_Navigator Twin,PASS,
non_system_same_P07-B_Navigator Twin,PASS,
route_parity_P08-A_Examined Companion,PASS,
synthetic_message_parity_P08-A_Examined Companion,PASS,
system_changed_P08-A_Examined Companion,PASS,
non_system_same_P08-A_Examined Companion,PASS,
route_parity_P08-A_Navigator Twin,PASS,
synthetic_message_parity_P08-A_Navigator Twin,PASS,
system_changed_P08-A_Navigator Twin,PASS,
non_system_same_P08-A_Navigator Twin,PASS,
route_parity_P08-B_Examined Companion,PASS,
synthetic_message_parity_P08-B_Examined Companion,PASS,
system_changed_P08-B_Examined Companion,PASS,
non_system_same_P08-B_Examined Companion,PASS,
route_parity_P08-B_Navigator Twin,PASS,
synthetic_message_parity_P08-B_Navigator Twin,PASS,
system_changed_P08-B_Navigator Twin,PASS,
non_system_same_P08-B_Navigator Twin,PASS,
route_parity_P09-A_Examined Companion,PASS,
synthetic_message_parity_P09-A_Examined Companion,PASS,
system_changed_P09-A_Examined Companion,PASS,
non_system_same_P09-A_Examined Companion,PASS,
route_parity_P09-A_Navigator Twin,PASS,
synthetic_message_parity_P09-A_Navigator Twin,PASS,
system_changed_P09-A_Navigator Twin,PASS,
non_system_same_P09-A_Navigator Twin,PASS,
route_parity_P09-B_Examined Companion,PASS,
synthetic_message_parity_P09-B_Examined Companion,PASS,
system_changed_P09-B_Examined Companion,PASS,
non_system_same_P09-B_Examined Companion,PASS,
route_parity_P09-B_Navigator Twin,PASS,
synthetic_message_parity_P09-B_Navigator Twin,PASS,
system_changed_P09-B_Navigator Twin,PASS,
non_system_same_P09-B_Navigator Twin,PASS,
route_parity_P10-A_Examined Companion,PASS,
synthetic_message_parity_P10-A_Examined Companion,PASS,
system_changed_P10-A_Examined Companion,PASS,
non_system_same_P10-A_Examined Companion,PASS,
route_parity_P10-A_Navigator Twin,PASS,
synthetic_message_parity_P10-A_Navigator Twin,PASS,
system_changed_P10-A_Navigator Twin,PASS,
non_system_same_P10-A_Navigator Twin,PASS,
route_parity_P10-B_Examined Companion,PASS,
synthetic_message_parity_P10-B_Examined Companion,PASS,
system_changed_P10-B_Examined Companion,PASS,
non_system_same_P10-B_Examined Companion,PASS,
route_parity_P10-B_Navigator Twin,PASS,
synthetic_message_parity_P10-B_Navigator Twin,PASS,
system_changed_P10-B_Navigator Twin,PASS,
non_system_same_P10-B_Navigator Twin,PASS,
route_parity_P11-A_Examined Companion,PASS,
synthetic_message_parity_P11-A_Examined Companion,PASS,
system_changed_P11-A_Examined Companion,PASS,
non_system_same_P11-A_Examined Companion,PASS,
route_parity_P11-A_Navigator Twin,PASS,
synthetic_message_parity_P11-A_Navigator Twin,PASS,
system_changed_P11-A_Navigator Twin,PASS,
non_system_same_P11-A_Navigator Twin,PASS,
route_parity_P11-B_Examined Companion,PASS,
synthetic_message_parity_P11-B_Examined Companion,PASS,
system_changed_P11-B_Examined Companion,PASS,
non_system_same_P11-B_Examined Companion,PASS,
route_parity_P11-B_Navigator Twin,PASS,
synthetic_message_parity_P11-B_Navigator Twin,PASS,
system_changed_P11-B_Navigator Twin,PASS,
non_system_same_P11-B_Navigator Twin,PASS,
route_parity_P12-A_Examined Companion,PASS,
synthetic_message_parity_P12-A_Examined Companion,PASS,
system_changed_P12-A_Examined Companion,PASS,
non_system_same_P12-A_Examined Companion,PASS,
route_parity_P12-A_Navigator Twin,PASS,
synthetic_message_parity_P12-A_Navigator Twin,PASS,
system_changed_P12-A_Navigator Twin,PASS,
non_system_same_P12-A_Navigator Twin,PASS,
route_parity_P12-B_Examined Companion,PASS,
synthetic_message_parity_P12-B_Examined Companion,PASS,
system_changed_P12-B_Examined Companion,PASS,
non_system_same_P12-B_Examined Companion,PASS,
route_parity_P12-B_Navigator Twin,PASS,
synthetic_message_parity_P12-B_Navigator Twin,PASS,
system_changed_P12-B_Navigator Twin,PASS,
non_system_same_P12-B_Navigator Twin,PASS,
backend_pairs_47,PASS,47
local_pairs_1,PASS,1
candidate_clause_gate_present_47,PASS,
baseline_new_blocks_absent_47,PASS,
candidate_system_exact_additive_transform,PASS,
payload_hashes_self_consistent,PASS,
p06a_navigator_local_byte_identical,PASS,
external_completion_token_not_injected,PASS,
all_backend_non_system_payload_same_47,PASS,
all_backend_model_same_47,PASS,
all_backend_max_tokens_same_47,PASS,
all_backend_messages_same_47,PASS,
