artifact,sha256,size_bytes,role
EBB-AI-SENTINEL-2_EXAMINED_RC2_FROZEN_CANDIDATE.zip,8cef138c4407923df638b127a60d9a0d463b044fd96b87b062761d599591f00f,38287,RC2 behavioral baseline
EBB-AI-SENTINEL-2_NAVIGATOR_RC2_FROZEN_CANDIDATE.zip,09e215fec74b6f6850b5fa943032c3252a3198198eeb49bdf84483f1e4e62303,224346,RC2 behavioral baseline
EBB-AI-SENTINEL-3_EXAMINED_RC2.1_FAILURE_LOCALIZED.zip,fde71485742c3f62e0853a6fb62f52c1c37d79dff16ff8126a26098b6310f433,40699,RC2.1 staging candidate
EBB-AI-SENTINEL-3_NAVIGATOR_RC2.1_FAILURE_LOCALIZED.zip,49b33e56524441c8c4deaf1f8ac6c420ea5ed19e179bab8d1d02e5f68ffc991d,225652,RC2.1 staging candidate
